,4b. close (USD),5. volume,6. market cap (USD)
2022-04-14,41246.00000000,707.24382000,707.24382000
2022-04-13,41147.79000000,41342.27254000,41342.27254000
2022-04-12,40074.94000000,57751.01778000,57751.01778000
2022-04-11,39530.45000000,63560.44721000,63560.44721000
2022-04-10,42158.85000000,22771.09403000,22771.09403000
2022-04-09,42753.97000000,17891.66047000,17891.66047000
2022-04-08,42252.01000000,42375.04203000,42375.04203000
2022-04-07,43444.19000000,37396.54156000,37396.54156000
2022-04-06,43170.47000000,60849.32936000,60849.32936000
2022-04-05,45497.55000000,42192.74852000,42192.74852000
2022-04-04,46580.51000000,44641.87514000,44641.87514000
2022-04-03,46407.35000000,33394.67794000,33394.67794000
2022-04-02,45811.00000000,37073.53582000,37073.53582000
2022-04-01,46283.49000000,56271.06474000,56271.06474000
2022-03-31,45510.34000000,48645.12667000,48645.12667000
2022-03-30,47067.99000000,40947.20850000,40947.20850000
2022-03-29,47434.80000000,36772.28457000,36772.28457000
2022-03-28,47122.21000000,58949.26140000,58949.26140000
2022-03-27,46827.76000000,41874.91071000,41874.91071000
2022-03-26,44511.27000000,23041.61741000,23041.61741000
2022-03-25,44313.16000000,54614.43648000,54614.43648000
2022-03-24,43991.46000000,56195.12374000,56195.12374000
2022-03-23,42882.76000000,40828.87039000,40828.87039000
2022-03-22,42364.13000000,59454.94294000,59454.94294000
2022-03-21,41002.25000000,39426.24877000,39426.24877000
2022-03-20,41262.11000000,30653.33468000,30653.33468000
2022-03-19,42201.13000000,29067.18108000,29067.18108000
2022-03-18,41757.51000000,45408.00969000,45408.00969000
2022-03-17,40917.90000000,37189.38087000,37189.38087000
2022-03-16,41114.00000000,88120.76167000,88120.76167000
2022-03-15,39280.33000000,46015.54926000,46015.54926000
2022-03-14,39671.37000000,46945.45375000,46945.45375000
2022-03-13,37777.34000000,32791.82359000,32791.82359000
2022-03-12,38807.36000000,24034.36432000,24034.36432000
2022-03-11,38729.57000000,59018.76420000,59018.76420000
2022-03-10,39422.00000000,71950.25677000,71950.25677000
2022-03-09,41941.71000000,67392.58799000,67392.58799000
2022-03-08,38730.63000000,55528.43367000,55528.43367000
2022-03-07,37988.00000000,63941.20316000,63941.20316000
2022-03-06,38420.81000000,39677.26158000,39677.26158000
2022-03-05,39397.96000000,30363.13341000,30363.13341000
2022-03-04,39148.66000000,61964.68498000,61964.68498000
2022-03-03,42454.00000000,50940.61021000,50940.61021000
2022-03-02,43892.98000000,57782.65081000,57782.65081000
2022-03-01,44421.20000000,61743.09873000,61743.09873000
2022-02-28,43160.00000000,73945.63858000,73945.63858000
2022-02-27,37699.07000000,46229.44719000,46229.44719000
2022-02-26,39116.72000000,29361.25680000,29361.25680000
2022-02-25,39219.17000000,56574.57125000,56574.57125000
2022-02-24,38327.21000000,120476.29458000,120476.29458000
2022-02-23,37250.01000000,43560.73200000,43560.73200000
2022-02-22,38230.33000000,53785.94589000,53785.94589000
2022-02-21,37008.16000000,62347.68496000,62347.68496000
2022-02-20,38386.89000000,33439.29011000,33439.29011000
2022-02-19,40079.17000000,18042.05510000,18042.05510000
2022-02-18,39974.44000000,43845.92241000,43845.92241000
